,company_name,company_year_founded,company_employees,company_hq,company_annual_revenue,industry,company_total_visits,company_bounce_rate,company_pages_per_visit,company_avg_visit_duration_in_seconds,company_3_month_ago,company_2_month_ago,company_1_month_ago,company_demographics_gender_female,company_demographics_gender_male,company_age_distribution_18_24,company_age_distribution_25_34,company_age_distribution_35_44
1840,GocomparecomLtd,2006,200,UnitedKingdomNewport,200.0,Finance,3.8,34.50,5.77,379.0,4.0,3.5,3.8,32.75,67.25,11.12,21.01,21.16
1841,CareCreditLLC,1987,10001,UnitedStatesFloridaOrlando,1.0,Finance,3.7,66.01,2.11,101.0,3.8,3.6,3.7,56.31,43.69,13.67,21.09,18.10
1842,Travelers,1853,10001,UnitedStatesNewYorkNewYorkCity,1.0,Finance,3.7,23.80,9.04,449.0,3.7,3.3,3.7,45.94,54.06,12.20,22.53,20.42
1843,StarHealthandAlliedInsurance,2006,10001,IndiaChennai,200.0,Finance,3.4,38.61,4.23,327.0,4.0,3.0,3.4,33.26,66.74,22.78,36.05,17.91
1844,TataAIALife,2001,10001,IndiaMumbai,1.0,Finance,3.4,57.70,3.77,231.0,3.5,3.0,3.4,33.14,66.86,23.56,37.01,16.37
1847,JioMart,2019,10001,IndiaMumbai,1.0,Finance,35.3,54.19,4.87,97.0,30.0,34.9,35.3,32.82,67.18,31.93,37.03,14.32
1848,iCubesWire,2012,50,UnitedKingdomGreaterLondon,25.0,Finance,34.6,77.62,1.38,16.0,30.8,58.5,34.6,37.25,62.75,40.10,28.70,12.21
1849,eToro,2006,5000,IsraelTelAviv,1.0,Finance,33.7,50.11,5.27,257.0,34.9,35.3,33.7,29.29,70.71,24.71,29.39,19.03
1850,TDAmeritrade,1975,10000,UnitedStatesNebraskaOmaha,1.0,Finance,30.5,23.19,7.7,580.0,34.9,28.6,30.5,32.06,67.94,12.17,21.62,20.29
1851,FoolU,1993,1000,UnitedStatesVirginiaAlexandria,1.0,Finance,29.2,70.42,1.96,112.0,28.8,24.8,29.2,30.70,69.30,13.50,24.90,19.67
1852,finviz,2007,50,UnitedStatesNewYorkNewYork,10.0,Finance,27.9,56.03,4.27,332.0,29.2,24.4,27.9,26.61,73.39,16.99,30.16,21.52
1853,Coil,2018,200,UnitedStatesCaliforniaSanFrancisco,25.0,Finance,27.0,81.03,1.47,112.0,45.6,30.5,27.0,41.93,58.07,23.06,30.18,18.98
1856,Groww,2016,500,IndiaKoramangalaIBlock,75.0,Finance,24.9,48.06,4.53,400.0,20.1,19.6,24.9,32.14,67.86,25.67,36.42,15.78
1857,ForexFactoryInc,2004,50,UnitedStatesFloridaTampa,5.0,Finance,24.0,61.85,2.34,189.0,23.1,21.3,24.0,27.28,72.72,22.22,34.25,19.90
1858,finanzennet,1999,10,GermanyKarlsruhe,10.0,Finance,22.3,54.32,3.54,218.0,25.2,22.0,22.3,21.69,78.31,16.81,26.37,18.77
1859,ExnessLimited,2008,5000,SaintVincentandtheGrenadinesKingstown,15.0,Finance,21.1,62.40,2.46,129.0,24.0,21.6,21.1,34.06,65.94,36.23,33.06,14.50
1862,ETRADE,1982,5000,UnitedStatesVirginiaArlington,1.0,Finance,19.8,19.70,10.31,664.0,24.3,19.4,19.8,32.05,67.95,13.45,27.99,21.70
1864,Etherscan,2016,50,AustraliaMackay,1.0,Finance,18.7,43.07,6.59,451.0,15.7,15.7,18.7,24.16,75.84,20.72,37.47,20.10
1865,Robinhood,2013,5000,UnitedStatesCaliforniaMenloPark,1.0,Finance,18.4,45.25,5.53,415.0,22.0,19.4,18.4,28.79,71.21,18.52,29.81,20.67
1866,Vanguard,1975,10001,UnitedStatesPennsylvaniaMalvern,1.0,Finance,17.7,19.61,10.77,403.0,20.6,19.3,17.7,38.11,61.89,13.58,25.37,19.95
1867,IQBrokerLLC,2006,10,UnitedStatesCaliforniaMountainView,2.0,Finance,17.2,58.26,1.43,68.0,16.6,17.2,17.2,34.13,65.87,32.02,32.33,16.22
1870,LegitNG,2012,50,NigeriaLagos,10.0,Finance,25.6,53.61,0.02,1.0,34.3,27.4,25.6,42.95,57.05,23.21,28.81,18.12
1871,StockTwitsInc,2008,50,UnitedStatesNewYorkNewYork,25.0,Finance,15.0,43.34,3.96,416.0,15.7,13.4,15.0,25.31,74.69,15.98,28.16,21.27
1872,AASTOCKS,2000,50,HongKongHongKong,15.0,Finance,14.8,39.95,5.92,664.0,12.0,10.0,14.8,37.13,62.87,16.01,34.36,22.81
1873,Bybit,2018,200,ChinaHongKong,50.0,Finance,14.6,38.61,6.6,488.0,20.7,17.9,14.6,25.24,74.76,21.11,37.62,19.84
1874,NationalStockExchangeofIndiaLtd,1992,1000,IndiaMumbai,1.0,Finance,14.4,43.54,3.36,417.0,14.0,12.7,14.4,31.47,68.53,28.37,32.12,15.75
1875,Bitget,2018,1000,SingaporeSingapore,25.0,Finance,13.6,30.90,7.32,409.0,12.6,11.5,13.6,32.95,67.05,32.08,33.22,16.17
1880,Allrecipes,1997,200,UnitedStatesWashingtonSeattle,50.0,FoodandDrink,75.2,68.63,2.07,132.0,81.5,75.3,75.2,61.36,38.64,14.40,21.12,14.77
1881,DoorDashInc,2013,10000,UnitedStatesCaliforniaSanFrancisco,1.0,FoodandDrink,68.2,39.79,5.43,427.0,73.7,68.0,68.2,48.65,51.35,25.86,31.98,19.10
1882,FoodNetwork,2009,5000,UnitedStatesNewYorkNewYork,200.0,FoodandDrink,58.7,51.75,2.28,120.0,43.0,47.7,58.7,62.82,37.18,13.14,20.40,14.77
1883,Kurashiru,2016,200,JapanTokyo,2.0,FoodandDrink,58.2,65.79,2.1,84.0,56.3,52.6,58.2,50.34,49.66,13.37,22.12,22.95
1884,UberEats,2014,10001,UnitedStatesCaliforniaSanFrancisco,1.0,FoodandDrink,50.0,35.01,10.68,439.0,50.7,48.4,50.0,45.23,54.77,24.30,35.06,19.32
1885,Giallozafferano,2006,50,ItalyMilano,15.0,FoodandDrink,44.7,57.40,2.08,165.0,51.0,47.2,44.7,55.12,44.88,16.02,22.53,19.46
1886,OpenTableInc,1998,5000,UnitedStatesCaliforniaSanFrancisco,500.0,FoodandDrink,44.7,41.93,3.73,177.0,39.7,39.0,44.7,55.04,44.96,17.02,29.01,19.46
1887,ToastInc,2011,5000,UnitedStatesMassachusettsBoston,1.0,FoodandDrink,44.2,42.78,5.51,239.0,42.8,39.7,44.2,51.96,48.04,21.43,29.61,18.98
1889,Marmiton,2000,50,FranceParis,15.0,FoodandDrink,42.0,62.59,2.39,159.0,45.7,44.9,42.0,61.45,38.55,17.61,22.35,17.40
1891,BBCGoodFood,1989,500,UnitedKingdomNorthampton,25.0,FoodandDrink,37.7,65.71,2.33,181.0,40.8,39.2,37.7,54.89,45.11,17.02,28.02,17.88
1892,ChefkochApp,1998,50,GermanyBonn,1.0,FoodandDrink,36.1,53.46,3.13,197.0,41.2,39.2,36.1,46.70,53.30,17.62,22.81,18.14
1895,Kaufland,1984,10001,GermanyNeckarsulm,1.0,FoodandDrink,34.8,49.84,3.52,179.0,32.1,33.5,34.8,34.71,65.29,15.14,22.17,19.63
1898,TasteofHome,1993,50,UnitedStatesIowaHarlan,15.0,FoodandDrink,32.8,67.42,2.08,130.0,38.3,33.5,32.8,65.96,34.04,14.90,19.24,14.41
1899,Instacart,2012,10001,UnitedStatesCaliforniaSanFrancisco,1.0,FoodandDrink,32.3,48.80,6.56,395.0,34.3,30.9,32.3,56.28,43.72,18.09,26.82,18.78
1901,Dominos,1960,10001,UnitedStatesMichiganAnnArbor,1.0,FoodandDrink,31.1,34.13,6.28,442.0,35.0,31.5,31.1,40.14,59.86,24.38,27.98,19.13
1903,Kroger,1883,10001,UnitedStatesOhioCincinnati,1.0,FoodandDrink,30.6,36.09,5.08,287.0,30.6,28.8,30.6,54.22,45.78,13.36,19.80,17.01
1905,StarbucksCorporation,1971,10001,UnitedStatesWashingtonSeattle,1.0,FoodandDrink,29.5,54.29,3.18,108.0,21.9,21.2,29.5,59.04,40.96,25.18,30.33,18.45
1907,Asda,1949,10001,UnitedKingdomLeeds,1.0,FoodandDrink,26.4,39.59,6.39,343.0,27.4,25.7,26.4,46.79,53.21,14.07,21.04,18.11
1908,NefisYemekTarifleri,2007,50,TurkeyIstanbul,10.0,FoodandDrink,26.4,51.13,2.13,103.0,34.6,35.2,26.4,44.01,55.99,23.66,37.20,19.65
1909,HometownSquare,2018,50,UnitedStatesOregonAstoria,5.0,FoodandDrink,26.3,53.83,3.01,137.0,27.1,24.5,26.3,55.51,44.49,21.46,30.62,18.94
1911,WoolworthsSupermarkets,1924,10001,AustraliaBellaVista,1.0,FoodandDrink,24.1,39.13,7.4,279.0,26.3,24.0,24.1,55.37,44.63,13.83,29.56,21.13
1913,McDonaldsCorp,1940,10001,UnitedStatesIllinoisChicago,1.0,FoodandDrink,23.4,59.34,2.73,94.0,25.2,23.6,23.4,43.29,56.71,25.60,27.88,16.94
1914,Thekitchn,2005,50,UnitedStatesNewYorkNewYorkCity,25.0,FoodandDrink,23.1,68.09,1.73,86.0,24.1,23.1,23.1,62.79,37.21,15.95,24.48,16.86
1916,GrubHub,2004,5000,UnitedStatesIllinoisChicago,1.0,FoodandDrink,22.1,38.94,7.47,358.0,23.5,22.2,22.1,49.84,50.16,24.01,31.52,18.88
1922,Sainsburys,1869,10001,UnitedKingdomLondon,1.0,FoodandDrink,19.9,41.06,9.94,337.0,18.8,18.4,19.9,48.23,51.77,14.15,21.48,17.12
1923,Suntory,1899,10001,JapanKyoubashi,1.0,FoodandDrink,11.0,43.21,5.99,182.0,11.7,10.6,11.0,38.46,61.54,11.75,23.96,23.73
1924,TotalWineMore,1991,5000,UnitedStatesMarylandBethesda,1.0,FoodandDrink,10.9,50.94,3.56,185.0,10.5,9.9,10.9,45.56,54.44,12.61,25.03,18.85
1925,VivinoInc,2009,500,UnitedStatesCaliforniaSanFrancisco,500.0,FoodandDrink,6.1,58.90,2.89,138.0,6.2,5.8,6.1,45.61,54.39,14.19,27.43,21.30
1926,LiquorcomInc,2009,200,UnitedStatesCaliforniaSanFrancisco,10.0,FoodandDrink,6.1,68.84,1.73,94.0,6.5,5.7,6.1,46.32,53.68,17.11,29.49,19.48
1928,UntappdInc,2010,200,UnitedStatesNorthCarolinaWilmington,15.0,FoodandDrink,4.9,55.75,3.43,183.0,4.6,4.4,4.9,38.68,61.32,17.95,31.01,19.77
1929,DrizlyInc,2012,500,UnitedStatesMassachusettsBoston,50.0,FoodandDrink,4.2,61.90,3.61,213.0,4.1,3.9,4.2,42.21,57.79,19.23,28.57,18.76
1933,VinePairInc,2013,200,UnitedStatesNewYorkNewYork,5.0,FoodandDrink,2.4,72.61,1.54,50.0,2.6,2.1,2.4,42.96,57.04,17.53,28.88,19.59
1934,LCBO,1927,10000,CanadaToronto,1.0,FoodandDrink,2.2,34.91,4.76,223.0,2.1,2.2,2.2,48.98,51.02,18.42,27.98,18.32
1935,PepsiCoInc,1965,10001,UnitedStatesNewYorkPurchase,1.0,FoodandDrink,2.0,53.46,2.21,105.0,2.1,1.9,2.0,42.17,57.83,22.49,31.45,19.46
1937,DonJulio,1942,200,UnitedStatesNewJerseyNewark,15.0,FoodandDrink,1.9,46.27,2.52,99.0,230.0,244.9,1.9,50.51,49.49,18.63,29.38,19.27
1938,Nescafe,1938,50,SwitzerlandVevey,15.0,FoodandDrink,1.8,67.30,1.71,54.0,1.7,1.6,1.8,42.41,57.59,23.01,33.64,19.47
1939,Winecom,1998,500,UnitedStatesCaliforniaSanFrancisco,200.0,FoodandDrink,1.8,46.21,4.05,116.0,1.7,1.5,1.8,48.81,51.19,13.38,25.68,18.13
1941,Heineken,2007,10001,NetherlandsAmsterdam,1.0,FoodandDrink,1.7,47.19,2.24,66.0,1.2,1.2,1.7,45.09,54.91,20.42,28.33,19.08
1943,DiffordsGuide,1997,50,UnitedKingdomLondon,5.0,FoodandDrink,1.6,66.34,2.94,135.0,1.5,1.4,1.6,44.96,55.04,18.23,29.41,19.29
1944,Whiskybase,2007,10,NetherlandsRotterdam,25.0,FoodandDrink,1.6,50.21,7.04,222.0,1.4,1.4,1.6,35.86,64.14,16.43,28.72,21.22
1945,BeerAdvocate,1996,10,UnitedStatesMassachusettsWinthrop,25.0,FoodandDrink,1.5,62.74,2.97,188.0,1.5,1.4,1.5,30.41,69.59,15.55,25.61,18.98
1946,WineEnthusiastMagazine,1988,200,UnitedStatesNewYorkValhalla,5.0,FoodandDrink,1.4,64.02,2.23,106.0,1.5,1.5,1.4,51.33,48.67,13.77,24.05,17.67
1948,CostaLimited,1971,10001,UnitedKingdomBeds,500.0,FoodandDrink,1.3,58.84,2.64,107.0,1.1,1.1,1.3,48.65,51.35,20.52,28.40,20.00
1949,TheWhiskyExchange,1999,200,UnitedKingdomLondon,100.0,FoodandDrink,1.3,58.06,2.8,93.0,1.5,1.4,1.3,36.41,63.59,17.52,29.73,19.84
1950,MasterofMaltcom,1985,50,UnitedKingdomKent,75.0,FoodandDrink,1.2,52.76,3.5,130.0,1.5,1.3,1.2,36.98,63.02,15.37,28.91,21.09
1951,CellarTracker,2004,10,UnitedStatesWashingtonSeattle,10.0,FoodandDrink,1.1,50.78,5.46,231.0,1.3,1.0,1.1,42.57,57.43,12.20,24.00,19.81
1953,ReadyRefresh,2015,500,UnitedStatesConnecticutStamford,200.0,FoodandDrink,1.1,35.00,5.56,217.0,1.2,1.1,1.1,51.76,48.24,13.62,23.61,19.76
1955,MonsterEnergyCompany,2002,5000,UnitedStatesCaliforniaCorona,1.0,FoodandDrink,1.1,44.17,3.59,85.0,1.1,1.2,1.1,35.83,64.17,26.33,30.68,18.47
1956,PerfectDailyGrind,2014,50,UnitedKingdomCrowborough,5.0,FoodandDrink,1.1,75.09,1.58,79.0,863.0,928.1,1.1,48.30,51.70,23.95,32.57,18.22
1957,Lupicia,1994,200,JapanDaikanyamachou,25.0,FoodandDrink,1.0,42.95,5.72,212.0,928.8,1.1,1.0,58.89,41.11,15.58,30.51,25.11
1959,WineFolly,2011,50,UnitedStatesWashingtonWoodinville,2.0,FoodandDrink,998.8,67.81,1.96,88.0,1.1,1.0,998.8,49.61,50.39,17.59,29.39,18.73
1961,CoorsLight,1978,50,UnitedStatesColoradoGolden,5.0,FoodandDrink,937.2,51.05,1.79,27.0,68.7,112.0,937.2,48.74,51.26,14.71,20.56,17.78
1962,MyBartender,2003,50,UnitedStatesPennsylvaniaPhiladelphia,5.0,FoodandDrink,935.4,63.92,1.66,106.0,672.2,847.9,935.4,52.44,47.56,21.31,31.41,19.03
1963,TrailApp,2014,50,UnitedKingdomLondon,5.0,FoodandDrink,924.6,43.03,3.48,410.0,847.9,749.6,924.6,48.39,51.61,17.46,34.03,21.04
1965,ABCFineWineSpirits,1936,5000,UnitedStatesFloridaOrlando,1.0,FoodandDrink,871.2,58.77,3.65,133.0,766.8,771.7,871.2,41.46,58.54,15.27,25.12,19.44
1966,CuisineAZ,1998,50,FranceLaMadeleine,15.0,FoodandDrink,18.7,67.58,2.51,136.0,20.5,19.5,18.7,63.43,36.57,17.81,20.67,17.32
1968,SimplyRecipes,2003,50,UnitedStatesWashingtonMercerIsland,5.0,FoodandDrink,18.3,75.71,1.63,98.0,18.5,17.3,18.3,61.81,38.19,15.18,22.46,16.34
1969,Food,1999,200,UnitedStatesCaliforniaLosAngeles,50.0,FoodandDrink,18.2,58.41,2.38,87.0,20.2,18.7,18.2,64.79,35.21,12.18,17.36,14.46
1976,SeriousEatsInc,2006,50,UnitedStatesNewYorkNewYork,25.0,FoodandDrink,14.1,71.14,1.92,130.0,14.8,13.8,14.1,53.31,46.69,16.20,27.66,17.40
1977,TastingTable,2008,50,UnitedStatesNewYorkNewYorkCity,10.0,FoodandDrink,13.7,71.32,1.53,65.0,13.8,13.9,13.7,53.54,46.46,19.35,26.91,17.99
1982,GuteKueche,2000,200,AustriaStinatz,10.0,FoodandDrink,12.1,75.26,1.91,96.0,14.6,13.6,12.1,49.32,50.68,18.32,24.73,18.61
1984,BonAppetit,1956,5000,UnitedStatesDelawareWilmington,1.0,FoodandDrink,11.0,69.73,1.85,103.0,12.2,11.1,11.0,61.05,38.95,17.43,27.55,17.27
1987,Taste,2006,200,AustraliaAlexandria,10.0,FoodandDrink,11.0,50.88,4.27,187.0,10.4,10.7,11.0,64.35,35.65,15.06,26.52,18.25
1991,750g,2004,50,FranceParis,10.0,FoodandDrink,10.2,71.81,1.83,91.0,9.9,9.5,10.2,63.05,36.95,18.90,19.75,16.82
2025,CarrefourSA,1959,10001,FranceMassyCedex,1.0,FoodandDrink,16.0,44.03,9.1,324.0,15.7,15.3,16.0,53.26,46.74,18.49,23.85,19.24
2026,REWE,2009,10001,GermanyCologne,1.0,FoodandDrink,16.0,51.02,4.81,170.0,15.5,14.7,16.0,41.33,58.67,21.94,24.43,16.79
2027,Publix,1930,10001,UnitedStatesFloridaLakeland,1.0,FoodandDrink,15.3,32.14,5.18,269.0,14.9,14.3,15.3,58.26,41.74,12.73,19.46,17.14
2028,Coles,1914,10001,AustraliaGlenIris,1.0,FoodandDrink,15.2,38.44,7.49,317.0,15.3,14.9,15.2,55.51,44.49,13.12,27.52,20.35
2029,LIDLUS,1973,5000,UnitedStatesVirginiaArlington,1.0,FoodandDrink,15.0,36.03,10.6,252.0,13.8,12.9,15.0,53.97,46.03,18.71,29.37,19.30
2030,SafewayInc,1915,10001,UnitedStatesIdahoBoise,1.0,FoodandDrink,14.5,29.41,6.16,257.0,14.6,13.1,14.5,52.66,47.34,12.59,19.34,16.30
2031,ALDI,1913,10001,UnitedStatesIllinoisBatavia,1.0,FoodandDrink,12.9,49.51,4.33,188.0,13.8,12.1,12.9,59.61,40.39,13.57,19.00,16.90
2032,HEB,1905,10001,UnitedStatesTexasSanAntonio,1.0,FoodandDrink,12.6,46.40,6.72,324.0,12.5,11.9,12.6,52.56,47.44,19.83,24.73,17.67
2037,WholeFoodsMarketInc,1980,10001,UnitedStatesTexasAustin,1.0,FoodandDrink,8.1,44.42,3.39,179.0,7.7,7.4,8.1,61.07,38.93,16.28,26.49,19.31
2038,ALDISD,1913,10001,GermanyMuelheim,1.0,FoodandDrink,7.5,41.66,8.81,152.0,7.6,7.2,7.5,36.13,63.87,15.07,21.80,18.48
2040,Edeka,1898,10001,GermanyHamburg,1.0,FoodandDrink,6.8,63.55,2.62,80.0,7.1,7.0,6.8,42.85,57.15,17.85,22.39,17.84
2041,Iceland,1970,10001,UnitedKingdomDeeside,1.0,FoodandDrink,6.8,35.51,7.95,484.0,7.0,6.7,6.8,39.26,60.74,14.61,18.83,16.97
2042,Waitrose,1904,10001,UnitedKingdomLondon,1.0,FoodandDrink,6.3,47.91,5.48,278.0,6.7,6.5,6.3,53.00,47.00,11.13,22.09,18.22
2046,EdibleArrangements,1999,200,UnitedStatesGeorgiaAtlanta,1.0,FoodandDrink,5.3,42.99,4.76,287.0,2.5,2.8,5.3,65.54,34.46,16.10,26.13,19.27
2048,BookFunnel,2015,50,UnitedStatesTexasPearland,5.0,FoodandDrink,5.0,46.22,3.91,309.0,4.7,4.6,5.0,57.47,42.53,15.65,20.93,15.82
2049,ShopRite,1946,10001,UnitedStatesNewJerseyEdison,1.0,FoodandDrink,4.8,21.66,7.12,360.0,4.8,4.4,4.8,60.21,39.79,12.30,19.05,16.35
2050,StopandShop,1914,10001,UnitedStatesMassachusettsQuincy,1.0,FoodandDrink,4.7,38.05,4.85,293.0,4.6,4.3,4.7,60.06,39.94,13.17,19.60,16.96
2051,Getir,2015,5000,TurkeyBesiktas,500.0,FoodandDrink,4.7,50.59,8.87,786.0,4.2,4.5,4.7,32.90,67.10,27.32,40.98,18.23
2052,ROLLER,2011,50,AustraliaSouthbank,25.0,FoodandDrink,4.6,26.36,14.31,837.0,4.2,4.6,4.6,54.26,45.74,16.94,26.73,23.32
2053,Intermarche,1974,50,FranceBondoufle,1.0,FoodandDrink,4.6,37.96,12.69,466.0,5.1,5.0,4.6,56.49,43.51,16.16,20.11,18.05
2055,Yemeksepeti,2000,5000,TurkeyBalmumcu,500.0,FoodandDrink,4.5,36.56,8.73,485.0,4.8,4.4,4.5,29.07,70.93,27.99,39.20,18.60
2056,Albertsons,1939,10001,UnitedStatesIdahoBoise,1.0,FoodandDrink,4.5,29.88,5.53,228.0,4.8,4.5,4.5,51.73,48.27,14.03,20.52,17.22
2057,coopch,1890,10001,SwitzerlandBasel,1.0,FoodandDrink,4.4,41.53,4.63,225.0,4.2,4.3,4.4,55.78,44.22,13.76,26.44,18.39
2058,JustEatLimited,2001,5000,UnitedKingdomLondon,1.0,FoodandDrink,17.4,36.78,8.64,480.0,17.8,17.1,17.4,36.08,63.92,25.21,30.18,17.86
2060,SubwayIPLLC,1965,10001,UnitedStatesConnecticutMilford,1.0,FoodandDrink,16.6,40.88,6.38,237.0,15.0,14.3,16.6,45.40,54.60,21.61,25.91,17.97
2061,PapaJohns,1984,10001,UnitedStatesKentuckyLouisville,1.0,FoodandDrink,14.6,33.11,7.77,468.0,14.0,12.8,14.6,41.85,58.15,22.70,26.77,18.70
2062,Lieferandode,2009,200,GermanyMunich,50.0,FoodandDrink,14.3,39.04,7.87,368.0,13.4,13.6,14.3,29.37,70.63,36.93,30.91,14.43
2063,PizzaHutLLC,1958,10001,UnitedStatesTexasPlano,1.0,FoodandDrink,14.3,35.80,6.49,386.0,14.7,13.6,14.3,36.12,63.88,23.34,25.02,18.71
2065,iFood,2011,5000,BrazilSaoPaulo,1.0,FoodandDrink,13.7,39.46,7.12,477.0,14.3,13.5,13.7,49.91,50.09,26.14,39.15,18.25
2066,ZomatoLimited,2008,10000,IndiaGurugram,1.0,FoodandDrink,13.4,47.55,3.7,381.0,15.1,12.8,13.4,41.84,58.16,31.84,38.93,14.36
2068,TacoBell,1962,10001,UnitedStatesCaliforniaIrvine,1.0,FoodandDrink,12.8,40.86,5.35,198.0,11.5,12.9,12.8,38.35,61.65,24.40,28.78,16.54
2069,Resy,2014,200,UnitedStatesNewYorkNewYorkCity,50.0,FoodandDrink,12.6,32.07,4.52,183.0,11.9,10.8,12.6,56.13,43.87,17.56,33.79,18.59
2070,Takeawaycom,2000,10001,NetherlandsAmsterdam,500.0,FoodandDrink,12.2,63.99,2.4,140.0,11.0,11.7,12.2,37.17,62.83,26.31,31.16,18.53
2071,PaneraBreadCo,1981,10001,UnitedStatesMissouriSaintLouis,1.0,FoodandDrink,12.2,31.88,5.07,215.0,11.7,10.9,12.2,59.56,40.44,19.96,24.10,17.36
2073,Wongnai,2010,200,ThailandBangkok,50.0,FoodandDrink,10.0,65.75,2.45,129.0,10.3,9.8,10.0,55.56,44.44,22.50,42.05,20.71
2074,SevenRoomsInc,2011,200,UnitedStatesNewYorkNewYork,25.0,FoodandDrink,9.8,67.56,2.14,149.0,9.6,9.4,9.8,55.51,44.49,16.32,34.32,21.02
2076,ChipotleMexicanGrill,1993,10001,UnitedStatesCaliforniaNewportBeach,1.0,FoodandDrink,9.1,36.97,4.19,221.0,9.8,9.8,9.1,51.84,48.16,24.30,29.01,18.69
2077,Fever,2014,500,UnitedStatesNewYorkNewYorkCity,25.0,FoodandDrink,9.0,60.38,2.28,102.0,9.3,9.1,9.0,56.32,43.68,20.43,32.84,19.54
2078,Swiggy,2014,10000,IndiaBangalore,1.0,FoodandDrink,8.9,35.01,6.42,782.0,11.2,10.1,8.9,40.28,59.72,36.56,38.74,12.18
2080,Zenoti,2010,1000,UnitedStatesWashingtonBellevue,200.0,FoodandDrink,8.2,30.85,7.56,1008.0,7.7,7.5,8.2,61.33,38.67,19.81,32.62,19.02
2081,zMenu,2013,10,UnitedStatesTexasHuffman,10.0,FoodandDrink,8.2,48.38,2.18,105.0,10.1,8.5,8.2,50.12,49.88,17.80,24.00,17.90
2083,WendysCo,1969,10001,UnitedStatesOhioDublin,1.0,FoodandDrink,8.1,33.44,6.87,181.0,8.1,7.2,8.1,42.58,57.42,23.85,25.66,16.73
2085,CircleK,1951,10001,UnitedStatesArizonaTempe,1.0,FoodandDrink,7.6,68.41,2.25,90.0,5.4,6.2,7.6,45.89,54.11,18.69,25.09,19.40
2086,Deliveroo,2012,10000,UnitedKingdomLondon,1.0,FoodandDrink,7.4,34.81,9.03,416.0,8.4,7.6,7.4,44.66,55.34,24.40,36.71,18.80
2088,LittleCaesars,1959,10001,UnitedStatesMichiganDetroit,1.0,FoodandDrink,7.3,33.46,5.62,255.0,7.9,7.6,7.3,36.87,63.13,26.76,28.74,17.91
2090,Glovoapp23SL,2014,5000,SpainBarcelona,1.0,FoodandDrink,7.1,47.19,5.8,376.0,6.9,6.6,7.1,43.09,56.91,24.14,34.58,20.13
2091,KFCCorporation,1930,10001,UnitedStatesKentuckyLouisville,1.0,FoodandDrink,6.7,40.89,5.62,212.0,8.2,6.8,6.7,32.56,67.44,23.90,26.17,17.41
2092,SinglePlatformCorp,2010,200,UnitedStatesNewYorkNewYork,50.0,FoodandDrink,6.7,69.81,1.68,59.0,7.2,6.0,6.7,51.07,48.93,16.78,26.39,19.05
2093,CrumblCookies,2017,10001,UnitedStatesUtahLogan,1.0,FoodandDrink,6.7,76.63,1.78,87.0,7.0,6.5,6.7,61.13,38.87,27.18,28.26,16.89
2094,PETA,1980,1000,UnitedStatesVirginiaNorfolk,25.0,FoodandDrink,2.7,60.33,2.21,90.0,2.6,2.4,2.7,52.60,47.40,22.22,26.19,17.27
2095,HappyCow,1999,50,UnitedStatesCaliforniaSantaMonica,5.0,FoodandDrink,1.7,56.39,4.47,130.0,1.8,1.7,1.7,53.90,46.10,20.19,32.23,19.31
2096,Zettle,2010,500,SwedenStockholm,200.0,FoodandDrink,1.7,33.83,5.31,372.0,1.5,1.5,1.7,41.57,58.43,14.40,28.42,23.76
2097,PlantBasedNews,2017,50,UnitedKingdomLondon,2.0,FoodandDrink,1.6,68.02,1.52,69.0,541.4,583.6,1.6,47.96,52.04,19.87,29.12,17.63
2107,VeganRicha,2008,200,UnitedStates,5.0,FoodandDrink,610.2,59.91,3.74,234.0,688.5,597.3,610.2,61.99,38.01,15.86,28.31,19.15
2118,VeganFoodaLiving,2015,50,UnitedKingdomLondon,2.0,FoodandDrink,348.6,69.06,1.86,92.0,378.5,394.6,348.6,51.14,48.86,18.05,28.99,18.40
2124,Qopla,2018,50,SwedenStockholm,1.0,FoodandDrink,321.8,48.80,2.98,139.0,389.1,421.2,321.8,41.46,58.54,12.44,25.42,23.09
2125,BeyondMeatInc,2009,5000,UnitedStatesCaliforniaElSegundo,500.0,FoodandDrink,319.0,60.65,2.45,94.0,316.2,253.3,319.0,50.52,49.48,19.00,27.10,18.67
2132,WorldofVegan,2015,50,UnitedStatesCaliforniaSantaAna,5.0,FoodandDrink,273.2,72.83,1.91,67.0,181.5,193.9,273.2,57.15,42.85,17.35,28.58,19.75
2133,TheVeganSociety,1944,200,UnitedKingdomBirmingham,10.0,FoodandDrink,273.1,62.00,2.81,111.0,196.9,209.3,273.1,52.17,47.83,20.14,27.31,17.89
2134,FarmFreshToYou,1976,500,UnitedStatesCaliforniaWestSacramento,200.0,FoodandDrink,268.9,26.37,6.81,299.0,371.8,327.4,268.9,58.19,41.81,13.07,25.91,19.09
2140,Bet9ja,2012,5000,NigeriaLagos,1.0,Gambling,76.1,28.95,8.38,736.0,65.0,73.1,76.1,15.92,84.08,15.83,39.13,22.18
2142,FreeBitcoin,2013,50,India,15.0,Gambling,42.5,70.75,0.02,1.0,45.2,41.6,42.5,30.15,69.85,24.24,33.47,18.49
2144,BetKing,2017,200,NigeriaLagos,10.0,Gambling,55.3,23.61,15.18,1101.0,52.6,59.8,55.3,15.64,84.36,16.84,39.16,21.34
2145,BetwayLimited,2006,50,MaltaGzira,10.0,Gambling,99.9,16.52,0.07,9.0,100.5,97.1,99.9,43.08,56.92,29.16,29.73,16.67
